epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1625.8,0.47966,0.33532,0.82714,0.97039,1,0.98611,0.87216,0.51544,0.34895,0.81928,0.0010991,0.0010991,0.0010991
93,1643.2,0.46441,0.32689,0.83906,0.96292,1,0.98812,0.87039,0.51024,0.35013,0.8184,0.0010892,0.0010892,0.0010892
94,1660.12,0.50343,0.34142,0.83989,0.96546,0.9984,0.98871,0.87291,0.52936,0.35592,0.82188,0.0010793,0.0010793,0.0010793
95,1677.02,0.52587,0.34767,0.84092,0.96859,0.99107,0.98675,0.87115,0.52435,0.36594,0.82108,0.0010694,0.0010694,0.0010694
96,1694.88,0.48782,0.33296,0.84121,0.95999,0.97321,0.98495,0.86395,0.54121,0.37674,0.82496,0.0010595,0.0010595,0.0010595
97,1712.97,0.49688,0.3246,0.84441,0.95585,0.99107,0.98084,0.86613,0.52275,0.37282,0.82302,0.0010496,0.0010496,0.0010496
98,1731.29,0.51113,0.33814,0.8325,0.97279,0.99107,0.98492,0.87235,0.50636,0.36665,0.81934,0.0010397,0.0010397,0.0010397
99,1748.72,0.50124,0.33072,0.83624,0.97235,0.99107,0.98556,0.87121,0.51774,0.36413,0.82132,0.0010298,0.0010298,0.0010298
100,1766.22,0.48592,0.33618,0.83987,0.96527,1,0.98262,0.86194,0.53896,0.35594,0.82295,0.0010199,0.0010199,0.0010199
101,1783.31,0.4832,0.32982,0.83123,0.97391,0.99999,0.97766,0.87609,0.50375,0.34962,0.8198,0.00101,0.00101,0.00101
102,1799.43,0.46015,0.32295,0.82693,0.97322,1,0.97877,0.86326,0.51536,0.34158,0.81884,0.0010001,0.0010001,0.0010001
103,1816.87,0.47384,0.32732,0.83589,0.97261,0.99107,0.98524,0.87218,0.52712,0.35798,0.81808,0.0009902,0.0009902,0.0009902
104,1834.89,0.48779,0.32762,0.8351,0.97364,0.9893,0.99065,0.88557,0.51958,0.36014,0.81771,0.0009803,0.0009803,0.0009803
105,1853.47,0.44355,0.31034,0.81909,0.97366,0.99016,0.99328,0.88316,0.51159,0.35574,0.81282,0.0009704,0.0009704,0.0009704
106,1872.23,0.44768,0.31573,0.81634,0.97387,0.99849,0.99318,0.88444,0.52463,0.35093,0.81487,0.0009605,0.0009605,0.0009605
107,1888.91,0.50094,0.3358,0.82439,0.97311,1,0.9931,0.87247,0.53102,0.34886,0.81596,0.0009506,0.0009506,0.0009506
108,1906.67,0.46048,0.32359,0.83522,0.98138,0.98214,0.99015,0.87371,0.53494,0.34772,0.82041,0.0009407,0.0009407,0.0009407
109,1922.84,0.45852,0.31412,0.82814,0.97918,0.99107,0.98851,0.87909,0.52635,0.3473,0.82176,0.0009308,0.0009308,0.0009308
110,1940.64,0.43904,0.29718,0.82386,0.98055,0.99107,0.98972,0.8841,0.52633,0.34078,0.82317,0.0009209,0.0009209,0.0009209
111,1958.18,0.47164,0.31364,0.82826,0.97804,0.99107,0.99071,0.88755,0.52589,0.34348,0.82485,0.000911,0.000911,0.000911
112,1976.62,0.46309,0.31425,0.83348,0.965,0.99107,0.9897,0.89035,0.51327,0.3447,0.82038,0.0009011,0.0009011,0.0009011
113,1994.48,0.43965,0.30484,0.81507,0.96909,0.98214,0.98734,0.88019,0.51681,0.35027,0.81938,0.0008912,0.0008912,0.0008912
114,2011.35,0.47363,0.31563,0.84158,0.97363,0.989,0.98183,0.87666,0.52747,0.34617,0.82291,0.0008813,0.0008813,0.0008813
115,2027.89,0.44762,0.3137,0.8221,0.97317,1,0.97846,0.8682,0.53352,0.34914,0.82495,0.0008714,0.0008714,0.0008714
116,2046.05,0.45178,0.31538,0.82011,0.96278,1,0.97883,0.86956,0.52353,0.34732,0.82631,0.0008615,0.0008615,0.0008615
117,2064.24,0.48141,0.38098,0.8429,0.97146,1,0.98646,0.88031,0.50835,0.33883,0.8243,0.0008516,0.0008516,0.0008516
118,2081.15,0.45608,0.30671,0.82425,0.96543,1,0.98831,0.88465,0.50862,0.34222,0.82356,0.0008417,0.0008417,0.0008417
119,2099.15,0.44493,0.30542,0.81208,0.97383,0.99671,0.98216,0.86654,0.52922,0.35357,0.82427,0.0008318,0.0008318,0.0008318
120,2115.99,0.47495,0.31157,0.82608,0.97387,0.99835,0.9757,0.86724,0.52097,0.36993,0.82053,0.0008219,0.0008219,0.0008219
121,2134.2,0.45723,0.31393,0.83361,0.97238,0.99107,0.97579,0.86621,0.51992,0.37206,0.82129,0.000812,0.000812,0.000812
122,2151.73,0.46047,0.30931,0.83568,0.97233,0.99107,0.97654,0.86811,0.51655,0.35566,0.82129,0.0008021,0.0008021,0.0008021
123,2168.85,0.44043,0.29939,0.82815,0.9699,0.99107,0.97685,0.86893,0.50382,0.35596,0.81913,0.0007922,0.0007922,0.0007922
124,2186.59,0.46876,0.30334,0.81858,0.96985,0.99107,0.97757,0.8665,0.52191,0.35369,0.82154,0.0007823,0.0007823,0.0007823
125,2204.98,0.41107,0.28358,0.8107,0.96491,0.99107,0.98032,0.87522,0.51466,0.33933,0.81865,0.0007724,0.0007724,0.0007724
126,2222.94,0.42855,0.29409,0.81422,0.96898,0.99107,0.97904,0.87063,0.51637,0.34485,0.82037,0.0007625,0.0007625,0.0007625
127,2241.69,0.43623,0.29385,0.82084,0.97077,0.99107,0.98105,0.86843,0.52128,0.33958,0.82021,0.0007526,0.0007526,0.0007526
128,2258.87,0.45426,0.30052,0.82763,0.96979,0.99107,0.98123,0.87923,0.50074,0.33284,0.8172,0.0007427,0.0007427,0.0007427
129,2277.05,0.44455,0.29901,0.80989,0.96828,1,0.97827,0.86435,0.52794,0.34332,0.8212,0.0007328,0.0007328,0.0007328
130,2293.97,0.4432,0.29334,0.8252,0.97346,1,0.97374,0.86731,0.51458,0.34513,0.81792,0.0007229,0.0007229,0.0007229
131,2311.83,0.43307,0.28827,0.81351,0.97385,0.99755,0.97539,0.87389,0.49776,0.32981,0.81403,0.000713,0.000713,0.000713
132,2329.62,0.45545,0.29414,0.81373,0.97387,0.99846,0.98037,0.86764,0.5392,0.33876,0.81712,0.0007031,0.0007031,0.0007031
133,2348.3,0.43255,0.28924,0.8126,0.96551,0.9998,0.98159,0.87767,0.5125,0.33518,0.81597,0.0006932,0.0006932,0.0006932
134,2366.36,0.42504,0.28569,0.81049,0.96546,0.99817,0.98286,0.86681,0.52911,0.346,0.81891,0.0006833,0.0006833,0.0006833
135,2385.89,0.42654,0.28401,0.81275,0.95695,1,0.98533,0.87536,0.51493,0.35134,0.81883,0.0006734,0.0006734,0.0006734
136,2403.17,0.44039,0.28707,0.8146,0.9572,0.99831,0.98904,0.88847,0.50528,0.32484,0.81686,0.0006635,0.0006635,0.0006635
137,2420.76,0.44137,0.29679,0.82481,0.96489,0.99107,0.98979,0.88494,0.51571,0.3306,0.82003,0.0006536,0.0006536,0.0006536
138,2437.88,0.46412,0.29842,0.80819,0.95546,1,0.98656,0.87411,0.52464,0.33757,0.81652,0.0006437,0.0006437,0.0006437
139,2454.18,0.43067,0.2869,0.80892,0.95633,1,0.98442,0.87902,0.5031,0.33373,0.81607,0.0006338,0.0006338,0.0006338
140,2471.63,0.43975,0.2882,0.81278,0.97384,0.9972,0.98516,0.87537,0.50826,0.32286,0.81621,0.0006239,0.0006239,0.0006239
141,2489.25,0.40931,0.27752,0.82285,0.97256,1,0.98672,0.87418,0.5231,0.32347,0.81463,0.000614,0.000614,0.000614
142,2505.88,0.39452,0.27075,0.81034,0.97269,1,0.98651,0.87908,0.51857,0.32334,0.81374,0.0006041,0.0006041,0.0006041
143,2523.99,0.40122,0.27163,0.803,0.9729,1,0.98465,0.88344,0.51145,0.32371,0.81405,0.0005942,0.0005942,0.0005942
144,2540.91,0.42857,0.28578,0.81376,0.97226,1,0.98263,0.87977,0.51051,0.32488,0.81471,0.0005843,0.0005843,0.0005843
145,2558.51,0.40944,0.27892,0.8007,0.97166,1,0.98295,0.88837,0.50031,0.32469,0.81236,0.0005744,0.0005744,0.0005744
146,2574.97,0.3922,0.27507,0.80036,0.97222,1,0.98442,0.88711,0.48765,0.3148,0.81036,0.0005645,0.0005645,0.0005645
147,2592.09,0.40711,0.27375,0.81413,0.97289,1,0.98564,0.89092,0.4918,0.31699,0.81457,0.0005546,0.0005546,0.0005546
148,2609.8,0.40696,0.2785,0.80853,0.9726,1,0.98554,0.88708,0.49582,0.3217,0.81555,0.0005447,0.0005447,0.0005447
149,2627.53,0.40539,0.27459,0.8251,0.97255,1,0.98621,0.89608,0.49755,0.31055,0.81592,0.0005348,0.0005348,0.0005348
150,2644.82,0.42183,0.28147,0.81214,0.97253,1,0.98695,0.88859,0.49377,0.31336,0.81525,0.0005249,0.0005249,0.0005249
151,2661.67,0.39721,0.26721,0.80916,0.97264,1,0.98599,0.89256,0.49711,0.31024,0.81429,0.000515,0.000515,0.000515
152,2679.25,0.4209,0.275,0.81605,0.97224,1,0.98384,0.89033,0.48791,0.30845,0.81474,0.0005051,0.0005051,0.0005051
153,2697.39,0.4072,0.26431,0.81097,0.97126,1,0.98275,0.88552,0.49582,0.31616,0.81815,0.0004952,0.0004952,0.0004952
154,2715.77,0.41489,0.27606,0.81968,0.97098,1,0.98449,0.88666,0.50034,0.31841,0.81847,0.0004853,0.0004853,0.0004853
155,2733.56,0.389,0.26711,0.80708,0.97063,1,0.98544,0.88559,0.51034,0.32324,0.81946,0.0004754,0.0004754,0.0004754
156,2750.82,0.38869,0.26457,0.80659,0.97137,1,0.98351,0.88433,0.49993,0.3185,0.81928,0.0004655,0.0004655,0.0004655
157,2768.85,0.40139,0.26734,0.81689,0.97231,1,0.9794,0.87654,0.50367,0.33541,0.8228,0.0004556,0.0004556,0.0004556
158,2786.54,0.38854,0.26459,0.80387,0.97336,1,0.97769,0.87575,0.50531,0.33474,0.82417,0.0004457,0.0004457,0.0004457
159,2804,0.38864,0.25955,0.81516,0.97387,0.99828,0.97914,0.8773,0.50349,0.32777,0.82272,0.0004358,0.0004358,0.0004358
160,2821.17,0.39369,0.26431,0.81291,0.97257,0.99107,0.98322,0.88606,0.49483,0.31779,0.81845,0.0004259,0.0004259,0.0004259
161,2838.34,0.41095,0.26927,0.81131,0.97251,0.99107,0.98379,0.88679,0.49862,0.31117,0.81832,0.000416,0.000416,0.000416
162,2856.27,0.36917,0.25979,0.81333,0.97241,0.99107,0.98287,0.87697,0.50497,0.31493,0.81697,0.0004061,0.0004061,0.0004061
163,2873.87,0.40726,0.26905,0.8156,0.97201,0.99107,0.98144,0.8836,0.49454,0.3171,0.81445,0.0003962,0.0003962,0.0003962
164,2891.37,0.3877,0.26692,0.80687,0.97209,0.99107,0.97933,0.88182,0.49016,0.31713,0.81213,0.0003863,0.0003863,0.0003863
165,2908.95,0.39951,0.27256,0.82114,0.97235,0.99107,0.97981,0.87729,0.49879,0.3174,0.81143,0.0003764,0.0003764,0.0003764
166,2926.83,0.41437,0.27061,0.80545,0.97216,0.99107,0.98105,0.88028,0.4925,0.31552,0.8112,0.0003665,0.0003665,0.0003665
167,2944.29,0.38032,0.26012,0.80661,0.97119,0.99107,0.98151,0.88652,0.48152,0.31476,0.81186,0.0003566,0.0003566,0.0003566
168,2962.29,0.37411,0.25545,0.81067,0.96983,0.99107,0.98081,0.88798,0.48395,0.31543,0.8113,0.0003467,0.0003467,0.0003467
169,2979.32,0.36216,0.25049,0.80416,0.97156,0.99107,0.97887,0.8892,0.47132,0.30639,0.81325,0.0003368,0.0003368,0.0003368
170,2997.77,0.37882,0.26325,0.79869,0.97217,0.99107,0.97894,0.89278,0.47588,0.30731,0.81381,0.0003269,0.0003269,0.0003269
171,3016.59,0.38686,0.26193,0.81123,0.97197,0.99107,0.98007,0.88443,0.48573,0.3093,0.8134,0.000317,0.000317,0.000317
172,3034.59,0.38676,0.26041,0.81198,0.96459,1,0.97668,0.88224,0.48012,0.30486,0.81465,0.0003071,0.0003071,0.0003071
173,3051.73,0.3734,0.25561,0.80661,0.96414,1,0.97751,0.8857,0.48246,0.30626,0.81574,0.0002972,0.0002972,0.0002972
174,3070.41,0.39191,0.26466,0.81493,0.96391,1,0.97795,0.88156,0.48483,0.30296,0.81597,0.0002873,0.0002873,0.0002873
175,3088.08,0.38668,0.26188,0.80926,0.97072,0.99107,0.98037,0.88477,0.47754,0.29925,0.8141,0.0002774,0.0002774,0.0002774
176,3105.48,0.37413,0.2526,0.8057,0.97387,0.99848,0.98223,0.88438,0.4769,0.30822,0.81323,0.0002675,0.0002675,0.0002675
177,3123.1,0.37236,0.24674,0.80608,0.97323,1,0.98331,0.88936,0.48366,0.31017,0.81411,0.0002576,0.0002576,0.0002576
178,3140.6,0.38031,0.25663,0.81267,0.97328,1,0.98376,0.89278,0.48402,0.30776,0.81327,0.0002477,0.0002477,0.0002477
179,3157.39,0.3861,0.25501,0.80887,0.97264,1,0.98381,0.8865,0.48118,0.30936,0.81368,0.0002378,0.0002378,0.0002378
180,3174.96,0.37709,0.25261,0.80654,0.97275,1,0.98326,0.88433,0.48713,0.30687,0.81565,0.0002279,0.0002279,0.0002279
181,3191.29,0.36667,0.25081,0.80697,0.97276,1,0.98176,0.88783,0.4758,0.3011,0.81504,0.000218,0.000218,0.000218
182,3207.91,0.37984,0.25284,0.79981,0.97269,1,0.98048,0.89098,0.47481,0.30136,0.81327,0.0002081,0.0002081,0.0002081
183,3224.6,0.37172,0.24739,0.80572,0.97272,1,0.97988,0.89011,0.47818,0.30458,0.81386,0.0001982,0.0001982,0.0001982
184,3242.37,0.35942,0.24353,0.80154,0.9728,1,0.98014,0.89125,0.48278,0.30106,0.81479,0.0001883,0.0001883,0.0001883
